,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0001.mp3,,5000,,,,,,,,,,,,,,,,,,,,,,,
And for as long as I have got a whole in my butthole big boy those fucking potatoes  have been in the deep fat fryer,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0002.mp3,,5000,,,,,,,,,,,,,,,,,,,,,,,
chimichimichimichimichanga chimichana? chimi chug it in the bin ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0003.mp3,,3000,,,,,,,,,,,,,,,,,,,,,,,
fine dining? a fine fucking mess,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0004.mp3,,5000,,,,,,,,,,,,,,,,,,,,,,,
ah fuck me fuck me fuck me fuck me fuck me,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
00005.mp3,,3000,,,,,,,,,,,,,,,,,,,,,,,
you're cooking in a burnt pan you dick,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
00006.mp3,,5000,,,,,,,,,,,,,,,,,,,,,,,
fuck off you fat useless sack of fucking yankeedanky doodle shite,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
00007.mp3,,2000,,,,,,,,,,,,,,,,,,,,,,,
you bullshitting little fucker,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
00008.mp3,,3000,,,,,,,,,,,,,,,,,,,,,,,
i dont give a fuck if you have a thumb on your fat crack get out there,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
00009.mp3,,3000,,,,,,,,,,,,,,,,,,,,,,,
i dont know what kind of herb from jamaica you've been smoking,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
00010.mp3,,3000,,,,,,,,,,,,,,,,,,,,,,,
fine dining? a fine fucking mess,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
00011.mp3,,12000,,,,,,,,,,,,,,,,,,,,,,,
if you had fucking if you had fucking cook a muscle EOUROIEQH,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
12,,2000,,,,,,,,,,,,,,,,,,,,,,,
and its fucking rotten you fucking idiot,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
13,,2000,,,,,,,,,,,,,,,,,,,,,,,
KILL YOURSELF,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
14,,3000,,,,,,,,,,,,,,,,,,,,,,,
LOOK AT ME U IGNORANT BITCH,,,,,,,,,,,,,,,,,,,,,,,,,
15,,3000,,,,,,,,,,,,,,,,,,,,,,,
missy missy come here you fat mouthed fucking bitch,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
